CustomerName,CustomerNumber,RouteCode,StopSequence,Address,City,ProvinceCode,Postal Code,Country,DeliveryDate,DeliveryWindowStartTime,PhoneNumber,OrderId,EmailAddress,MasterBarcode,BarcodedSerialNumber,Barcode,RefaNumber,PieceNotes,ParcelWeight,ParcelWeightUnit,ParcelLength,ParcelLengthUnit,ParcelWidth,ParcelWidthUnit,ParcelHeight,ParcelHeightUnit,OtmNumber,PackagingFormCode,BarcodeSerialQualifier,BarcodeQualifier,MasterBarcodeQualifier
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281083,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281090,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281106,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281113,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281120,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281137,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281144,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281151,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281168,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
"010"" - "":CALGARY CO-OP #15 PHARM",032672,QH,10,700-2220 68TH ST N E,CALGARY,"AB ",T1YY6Y,CA,20-11-2024,05:00:00,04032992606,B001943644,,,,00006291150970281175,,CONSUMER GOODS,1,kg,0,cm,0,cm,0,cm,B001943644,,,,
